estado;codigo;numero;municipio;populacao
SP;35;7308;Boracéia;4.913
SP;35;7407;Borborema;16.278
SP;35;7456;Borebi;2.713
SP;35;7506;Botucatu;149.718
SP;35;7605;Bragança Paulista;172.346
SP;35;7704;Braúna;5.795
SP;35;7753;Brejo Alegre;2.911
SP;35;7803;Brodowski;25.605
SP;35;7902;Brotas;24.862
SP;35;8009;Buri;20.050
SP;35;8108;Buritama;17.414
SP;35;8207;Buritizal;4.547
SP;35;8306;Cabrália Paulista;4.222
SP;35;8405;Cabreúva;51.130
SP;35;8504;Caçapava;95.752
SP;35;8603;Cachoeira Paulista;33.827
SP;35;8702;Caconde;19.031
SP;35;8801;Cafelândia;17.917
SP;35;8900;Caiabu;4.195
SP;35;9007;Caieiras;104.044
SP;35;9106;Caiuá;6.017
SP;35;9205;Cajamar;79.034
SP;35;9254;Cajati;28.441
SP;35;9304;Cajobi;10.649
SP;35;9403;Cajuru;26.613
SP;35;9452;Campina do Monte Alegre;6.088
SP;35;9502;Campinas;1.223.237
SP;35;9601;Campo Limpo Paulista;86.407
SP;35;9700;Campos do Jordão;52.713
SP;35;9809;Campos Novos Paulista;5.028
SP;35;9908;Cananéia;12.542
SP;35;9957;Canas;5.268
SP;35;10005;Cândido Mota;31.410
SP;35;10104;Cândido Rodrigues;2.805
SP;35;10153;Canitar;5.365
SP;35;10203;Capão Bonito;47.098
SP;35;10302;Capela do Alto;21.257
SP;35;10401;Capivari;56.973
SP;35;10500;Caraguatatuba;125.194
SP;35;10609;Carapicuíba;405.375
SP;35;10708;Cardoso;12.371
SP;35;10807;Casa Branca;30.655
SP;35;10906;Cássia dos Coqueiros;2.488
SP;35;11003;Castilho;21.521
SP;35;11102;Catanduva;123.114
SP;35;11201;Catiguá;7.905
SP;35;11300;Cedral;9.452
SP;35;11409;Cerqueira César;20.391
SP;35;11508;Cerquilho;50.631
SP;35;11607;Cesário Lange;18.595
SP;35;11706;Charqueada;17.539
SP;35;11904;Clementina;8.894
SP;35;12001;Colina;18.601
SP;35;12100;Colômbia;6.223
SP;35;12209;Conchal;28.491
SP;35;12308;Conchas;18.138
SP;35;12407;Cordeirópolis;25.116
SP;35;12506;Coroados;6.197
SP;35;12605;Coronel Macedo;4.591
SP;35;12704;Corumbataí;4.072
SP;35;12803;Cosmópolis;74.662
SP;35;12902;Cosmorama;7.289
SP;35;13009;Cotia;257.882
SP;35;13108;Cravinhos;35.858
SP;35;13207;Cristais Paulista;8.803
SP;35;13306;Cruzália;2.021
SP;35;13405;Cruzeiro;82.895
SP;35;13504;Cubatão;132.521
SP;35;13603;Cunha;21.373
SP;35;13702;Descalvado;34.097
SP;35;13801;Diadema;429.550
SP;35;13850;Dirce Reis;1.805
SP;35;13900;Divinolândia;11.027
SP;35;14007;Dobrada;9.088
SP;35;14106;Dois Córregos;27.704
SP;35;14205;Dolcinópolis;2.108
SP;35;14304;Dourado;8.883
SP;35;14403;Dracena;47.287
SP;35;14502;Duartina;12.421
SP;35;14601;Dumont;10.174
SP;35;14700;Echaporã;6.026
SP;35;14809;Eldorado;15.592
SP;35;14908;Elias Fausto;18.095
SP;35;14924;Elisiário;3.742
SP;35;14957;Embaúba;2.446
SP;35;15004;Embu das Artes;279.264
SP;35;15103;Embu-Guaçu;70.402
SP;35;15129;Emilianópolis;3.238
SP;35;15152;Engenheiro Coelho;21.712
SP;35;15186;Espírito Santo do Pinhal;44.607
SP;35;15194;Espírito Santo do Turvo;4.926
SP;35;15202;Estrela d'Oeste;8.420
SP;35;15301;Estrela do Norte;2.774
SP;35;15350;Euclides da Cunha Paulista;9.280
SP;35;15400;Fartura;16.102
SP;35;15509;Fernandópolis;69.680
SP;35;15608;Fernando Prestes;5.805
SP;35;15657;Fernão;1.739
SP;35;15707;Ferraz de Vasconcelos;198.661
SP;35;15806;Flora Rica;1.397
SP;35;15905;Floreal;2.884
SP;35;16002;Flórida Paulista;14.936
SP;35;16101;Florínea;2.631
SP;35;16200;Franca;358.539
SP;35;16309;Francisco Morato;179.372
SP;35;16408;Franco da Rocha;158.438
SP;35;16507;Gabriel Monteiro;2.776
SP;35;16606;Gália;6.419
SP;35;16705;Garça;44.429
SP;35;16804;Gastão Vidigal;4.911
SP;35;16853;Gavião Peixoto;4.841
SP;35;16903;General Salgado;10.855
SP;35;17000;Getulina;11.485
SP;35;17109;Glicério;4.842
SP;35;17208;Guaiçara;12.416
SP;35;17307;Guaimbê;5.806
SP;35;17406;Guaíra;41.283
SP;35;17505;Guapiaçu;22.087
SP;35;17604;Guapiara;16.896
SP;35;17703;Guará;21.394
SP;35;17802;Guaraçaí;8.258
SP;35;17901;Guaraci;11.382
SP;35;18008;Guarani d'Oeste;1.996
SP;35;18107;Guarantã;6.685
SP;35;18206;Guararapes;33.257
SP;35;18305;Guararema;30.465
SP;35;18404;Guaratinguetá;123.192
SP;35;18503;Guareí;19.244
SP;35;18602;Guariba;40.857
SP;35;18701;Guarujá;324.977
SP;35;18800;Guarulhos;1.404.694
SP;35;18859;Guatapará;7.760
SP;35;18909;Guzolândia;5.346
SP;35;19006;Herculândia;9.649
SP;35;19055;Holambra;15.605
SP;35;19071;Hortolândia;237.570
SP;35;19105;Iacanga;12.002
SP;35;19204;Iacri;6.269
SP;35;19253;Iaras;9.786
SP;35;19303;Ibaté;35.830
SP;35;19402;Ibirá;12.639
SP;35;19501;Ibirarema;7.926
SP;35;19600;Ibitinga;61.150
SP;35;19709;Ibiúna;80.062
SP;35;19808;Icém;8.363
SP;35;19907;Iepê;8.228
